,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155675,0.00142146,0,0.00127298,0.00113314,0.00056746,0.00028325,0,0.00014156,0.00014134
sp118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0.00071073,0,0.00028289,0.00084986,0.00156051,0.00141623,0,0.00042469,0
sp119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00070761,0,0.00861825,0.00268741,0.00679887,0.0035466,0.00439031,0.00665345,0.00453001,0.00508834
sp120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014215,0,0.00014144,0.00028329,0,0,0.00042469,0,0.00042403
sp121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226436,0.00127932,0.00155411,0.00339463,0.00226629,0.00368847,0.00410707,0.00127407,0.00325595,0.00381625
sp122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00226436,0.00142146,0,0.0019802,0.00113314,0.00028373,0.00056649,0.00028313,0.00056625,0.00056537
sp123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00198132,0.00355366,0,0.00141443,0.00127479,0.00184423,0.00127461,0,0.00042469,0.00042403
sp124,0,0,0,0,0,0.02924223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp125,0.01350781,0.01209054,0.00702938,0.00351667,0,0,0,0,0.00731159,0.0068917,0,0.00168539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00028305,0,0.00014128,0.00014144,0.0009915,0.00170237,0.00056649,0.00184032,0.00014156,0.00127208
sp127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.00156361,0.00056513,0.00212164,0.00127479,0,0.00141623,0,0.00042469,0
sp128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.00270078,0,0,0,0.00212796,0,0,0.00226501,0
sp129,0.00759814,0.00843526,0.01166878,0.00225067,0.00154581,0.00014059,0,0,0.01237345,0.00914205,0.00519809,0.00196629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00283046,0.00227434,0.00127155,0.00268741,0.00269122,0.00241169,0.00325733,0.00141563,0.00169875,0.00183746
sp131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.00369581,0,0.00056577,0,0.00156051,0.00056649,0.00070781,0.00099094,0.00014134
sp132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523,0.00156361,0,0.00056577,0.00042493,0.00042559,0.00028325,0.00028313,0,0
sp133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0,0.00113026,0.00183876,0.00141643,0.00085118,0.00056649,0.00028313,0.00042469,0
sp134,0,0,0,0.01533268,0.01419337,0,0,0,0,0,0.04664232,0.02233146,0.00112407,0.00098508,0,0,0,0,0,0,0,0,0,0,0,0
